"credit_ID","credit_history","savings","other_debtors","other_installment_plans","number_credits"
3303,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3308,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3309,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","2-3"
3312,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3315,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3317,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3319,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3321,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3322,"existing credits paid back duly till now","unknown/no savings account","none","stores","2-3"
3323,"no credits taken/all credits paid back duly","... >= 1000 DM","none","stores","2-3"
3325,"critical account/other credits elsewhere","unknown/no savings account","guarantor","bank","1"
3327,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3328,"no credits taken/all credits paid back duly","500 <= ... < 1000 DM","none","none","1"
3329,"existing credits paid back duly till now","... >= 1000 DM","none","bank","2-3"
3330,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3332,"existing credits paid back duly till now","unknown/no savings account","none","bank","2-3"
3335,"all credits at this bank paid back duly","unknown/no savings account","none","none","45"
3336,"critical account/other credits elsewhere","100 <= ... <  500 DM","none","bank","1"
3338,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3339,"critical account/other credits elsewhere","... <  100 DM","none","bank","1"
3341,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3342,"no credits taken/all credits paid back duly","unknown/no savings account","none","stores","1"
3344,"delay in paying off in the past","unknown/no savings account","none","none","2-3"
3345,"no credits taken/all credits paid back duly","500 <= ... < 1000 DM","none","none","1"
3346,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3347,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3348,"delay in paying off in the past","... >= 1000 DM","none","bank","1"
3349,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3355,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3356,"no credits taken/all credits paid back duly","unknown/no savings account","none","stores","2-3"
3357,"all credits at this bank paid back duly","... >= 1000 DM","none","none",">= 6"
3358,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3360,"no credits taken/all credits paid back duly","unknown/no savings account","none","stores","1"
3362,"no credits taken/all credits paid back duly","... <  100 DM","none","none","2-3"
3363,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3364,"no credits taken/all credits paid back duly","unknown/no savings account","co-applicant","bank","2-3"
3365,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","2-3"
3366,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3368,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3369,"critical account/other credits elsewhere","500 <= ... < 1000 DM","none","none","2-3"
3370,"all credits at this bank paid back duly","unknown/no savings account","none","none","4-5"
3371,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","2-3"
3373,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3375,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3377,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3378,"all credits at this bank paid back duly","unknown/no savings account","none","none",">= 6"
3379,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3380,"all credits at this bank paid back duly","unknown/no savings account","co-applicant","none","2-3"
3381,"critical account/other credits elsewhere","... <  100 DM","none","bank","1"
3382,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3383,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3384,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3385,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3386,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","2-3"
3387,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3388,"delay in paying off in the past","unknown/no savings account","none","none","1"
3389,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3391,"existing credits paid back duly till now","... >= 1000 DM","none","none","1"
3393,"all credits at this bank paid back duly","unknown/no savings account","none","stores","2-3"
3394,"critical account/other credits elsewhere","... >= 1000 DM","none","bank","1"
3395,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3397,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3398,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3399,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3400,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3401,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3402,"all credits at this bank paid back duly","... <  100 DM","none","none","2-3"
3403,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3404,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3405,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3406,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3408,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","23"
3409,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3410,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3411,"critical account/other credits elsewhere","unknown/no savings account","co-applicant","none","2-3"
3412,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3413,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3414,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3415,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3417,"no credits taken/all credits paid back duly","unknown/no savings account","co-applicant","none","1"
3418,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3419,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3421,"critical account/other credits elsewhere","100 <= ... <  500 DM","none","stores","1"
3422,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3424,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3426,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3429,"critical account/other credits elsewhere","... <  100 DM","none","none","1"
3430,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3431,"all credits at this bank paid back duly","unknown/no savings account","none","bank","2-3"
3432,"critical account/other credits elsewhere","unknown/no savings account","none","none","1"
3433,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3434,"critical account/other credits elsewhere","... >= 1000 DM","guarantor","stores","1"
3436,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3437,"existing credits paid back duly till now","500 <= ... < 1000 DM","none","none","2-3"
3438,"delay in paying off in the past","... <  100 DM","none","none","1"
3443,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3448,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3449,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3451,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3452,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3453,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3455,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3457,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","2-3"
3459,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3460,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3461,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3463,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3464,"all credits at this bank paid back duly","... <  100 DM","guarantor","none","2-3"
3465,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3467,"all credits at this bank paid back duly","... <  100 DM","none","none","1"
3468,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3469,"existing credits paid back duly till now","... >= 1000 DM","none","none","1"
3471,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3472,"all credits at this bank paid back duly","... >= 1000 DM","none","bank","2-3"
3473,"existing credits paid back duly till now","500 <= ... < 1000 DM","none","none","2-3"
3475,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3476,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3478,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3479,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3480,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","bank","1"
3481,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3483,"no credits taken/all credits paid back duly","... <  100 DM","none","bank","2-3"
3484,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3486,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3487,"existing credits paid back duly till now","unknown/no savings account","none","none","1"
3491,"all credits at this bank paid back duly","unknown/no savings account","none","bank","2-3"
3492,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3494,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3496,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3497,"critical account/other credits elsewhere","unknown/no savings account","none","bank","1"
3498,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3500,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3501,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3505,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3506,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3508,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3509,"all credits at this bank paid back duly","unknown/no savings account","none","bank","2-3"
3510,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3512,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3513,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3515,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3516,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3517,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3520,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3523,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3524,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3525,"all credits at this bank paid back duly","... >= 1000 DM","none","none","1"
3528,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3532,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3533,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3534,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3535,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3536,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3537,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3540,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3541,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3542,"no credits taken/all credits paid back duly","... >= 1000 DM","guarantor","none","1"
3543,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3545,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3546,"existing credits paid back duly till now","100 <= ... <  500 DM","none","none","2-3"
3547,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3548,"delay in paying off in the past","unknown/no savings account","none","none","1"
3550,"critical account/other credits elsewhere","unknown/no savings account","none","bank","2-3"
3553,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3554,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3555,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","2-3"
3556,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3557,"existing credits paid back duly till now","unknown/no savings account","none","stores","2-3"
3558,"existing credits paid back duly till now","unknown/no savings account","none","stores","2-3"
3562,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","bank","2-3"
3563,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3564,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3566,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3567,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3568,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3569,"no credits taken/all credits paid back duly","500 <= ... < 1000 DM","none","none","2-3"
3570,"existing credits paid back duly till now","... >= 1000 DM","none","none","23"
3571,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3572,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3574,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3575,"critical account/other credits elsewhere","unknown/no savings account","none","bank","2-3"
3577,"all credits at this bank paid back duly","... >= 1000 DM","none","stores","2-3"
3579,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3581,"critical account/other credits elsewhere","500 <= ... < 1000 DM","none","stores","1"
3582,"all credits at this bank paid back duly","... <  100 DM","none","none","2-3"
3584,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3585,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","2-3"
3589,"existing credits paid back duly till now","unknown/no savings account","none","none","1"
3590,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3592,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3593,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3596,"delay in paying off in the past","unknown/no savings account","none","stores","1"
3597,"all credits at this bank paid back duly","... <  100 DM","none","none","2-3"
3598,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3599,"delay in paying off in the past","unknown/no savings account","none","stores","2-3"
3600,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3601,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3602,"all credits at this bank paid back duly","unknown/no savings account","co-applicant","bank","23"
3603,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3606,"existing credits paid back duly till now","unknown/no savings account","none","bank","2-3"
3608,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3610,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","2-3"
3612,"no credits taken/all credits paid back duly","... >= 1000 DM","none","bank","1"
3617,"critical account/other credits elsewhere","unknown/no savings account","guarantor","none","1"
3618,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","1"
3619,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3621,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3626,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3628,"no credits taken/all credits paid back duly","... >= 1000 DM","none","bank","1"
3629,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3631,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3635,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3636,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3638,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3639,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3643,"no credits taken/all credits paid back duly","... >= 1000 DM","none","bank","1"
3644,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3646,"all credits at this bank paid back duly","... >= 1000 DM","none","none","1"
